"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-04-11","16.55",,"0.05","0.1","1.2","37","49","30","  100","  100","28.0","33.1","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-04-12","15.21",,"0.24","0.0","0.0","48","59","40","  220","  230","33.1","45.0","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-04-13","13.65",,"0.00","0.0","0.0","44","52","34","  270","  260","29.1","35.1",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-04-14","13.42",,"0.74","0.9","0.0","35","37","31","   30","   30","25.1","32.0","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-04-15","10.96",,"0.01","0.1","1.2","38","50","32","  270","  260","21.9","30.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-04-16","7.38",,"0.13","0.0","0.0","46","64","38","   30","   40","14.1","18.1","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-04-17","12.75",,"0.01","0.0","0.0","49","61","42","  160","  150","23.0","30.0","    1",,"    1",,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-04-18","13.65",,"0.64","0.0","0.0","58","66","41","  220","  200","29.1","36.9","    1",,"    1",,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-04-19","13.65",,"0.10","0.0","0.0","41","42","39","   30","   20","23.9","30.0","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-04-20","13.20",,"0.01","0.0","0.0","43","54","36","   40","   40","23.0","32.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-04-21","5.14",,"0.00","0.0","0.0","48","71","31","  180","  230","12.1","14.1","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-04-22","12.08",,"0.00","0.0","0.0","62","76","50","  180","  210","21.9","29.1",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-04-23","14.09",,"0.03","0.0","0.0","58","66","43","  260","  170","25.9","34.0","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-04-24","3.36",,"0.00","0.0","0.0","49","62","36","  350","  360","10.1","14.1",,,,,,,,
